id,estado,monto,descripcion
9,error_conexion,102.27,completado
10,error_timeout,657.84,completado
11,error_conexion,941.38,fallo en operación
13,error_conexion,727.32,operación exitosa
16,error_conexion,979.09,operación exitosa
19,error_conexion,548.38,operación exitosa
20,error_timeout,174.45,reintentar
21,error_timeout,783.5,completado
22,error_timeout,584.16,operación exitosa
23,error_conexion,587.8,fallo en operación
24,error_conexion,915.14,operación exitosa
25,error_conexion,984.39,fallo en operación
26,error_timeout,798.29,completado
30,error_conexion,186.35,operación exitosa
34,error_timeout,246.64,operación exitosa
35,error_timeout,424.04,operación exitosa
36,error_timeout,581.59,reintentar
39,error_conexion,554.9,completado
42,error_timeout,571.42,completado
45,error_timeout,606.25,fallo en operación
47,error_timeout,454.43,fallo en operación
50,error_timeout,941.03,reintentar
52,error_timeout,317.86,completado
54,error_timeout,446.49,completado
56,error_timeout,117.72,completado
58,error_timeout,665.59,completado
60,error_timeout,674.11,fallo en operación
61,error_timeout,312.88,fallo en operación
63,error_conexion,201.92,reintentar
64,error_conexion,144.57,fallo en operación
65,error_timeout,552.33,reintentar
69,error_conexion,768.74,reintentar
70,error_timeout,239.19,fallo en operación
73,error_timeout,252.14,operación exitosa
74,error_conexion,746.68,reintentar
75,error_conexion,830.06,operación exitosa
76,error_conexion,44.1,reintentar
81,error_timeout,829.77,reintentar
82,error_timeout,193.63,completado
84,error_timeout,264.68,operación exitosa
86,error_timeout,26.18,operación exitosa
87,error_conexion,804.4,completado
88,error_conexion,754.35,reintentar
89,error_conexion,326.43,fallo en operación
90,error_conexion,419.04,reintentar
93,error_conexion,905.57,operación exitosa
97,error_timeout,25.31,fallo en operación
2,error_conexion,47.38,operación exitosa
3,error_timeout,323.13,reintentar
4,error_timeout,488.53,operación exitosa
5,error_conexion,668.69,reintentar
6,error_conexion,146.66,operación exitosa
8,error_timeout,483.06,fallo en operación
9,error_timeout,789.01,completado
10,error_timeout,973.12,reintentar
11,error_timeout,548.66,operación exitosa
12,error_conexion,447.08,operación exitosa
17,error_timeout,386.83,completado
18,error_timeout,309.36,completado
19,error_conexion,587.2,completado
20,error_conexion,434.05,fallo en operación
22,error_conexion,909.59,fallo en operación
23,error_timeout,901.77,reintentar
25,error_conexion,787.84,fallo en operación
28,error_conexion,644.76,fallo en operación
35,error_conexion,482.66,reintentar
40,error_timeout,304.84,reintentar
44,error_timeout,181.34,reintentar
45,error_timeout,372.11,reintentar
48,error_conexion,968.32,operación exitosa
49,error_conexion,238.0,fallo en operación
54,error_conexion,635.78,fallo en operación
55,error_timeout,171.07,reintentar
56,error_timeout,131.39,completado
61,error_conexion,61.45,reintentar
65,error_conexion,843.48,fallo en operación
66,error_conexion,772.59,reintentar
67,error_timeout,711.23,fallo en operación
69,error_conexion,112.64,operación exitosa
74,error_timeout,338.17,operación exitosa
76,error_timeout,121.71,fallo en operación
82,error_timeout,405.33,reintentar
83,error_timeout,894.85,reintentar
84,error_conexion,422.01,fallo en operación
85,error_conexion,164.62,fallo en operación
87,error_conexion,340.84,completado
91,error_timeout,463.12,operación exitosa
92,error_timeout,727.01,operación exitosa
93,error_conexion,317.56,reintentar
96,error_timeout,780.46,reintentar
97,error_conexion,894.42,fallo en operación
100,error_conexion,316.82,reintentar
1,error_timeout,424.07,completado
4,error_conexion,436.01,operación exitosa
6,error_conexion,411.47,fallo en operación
7,error_conexion,263.85,fallo en operación
8,error_conexion,110.76,operación exitosa
12,error_conexion,308.28,fallo en operación
13,error_timeout,516.44,reintentar
15,error_conexion,485.55,fallo en operación
16,error_conexion,448.6,operación exitosa
19,error_timeout,521.25,completado
22,error_conexion,498.81,completado
23,error_conexion,130.49,completado
29,error_timeout,545.14,reintentar
30,error_timeout,880.24,fallo en operación
33,error_conexion,381.22,operación exitosa
34,error_conexion,825.99,operación exitosa
36,error_timeout,880.43,fallo en operación
40,error_timeout,710.46,completado
43,error_conexion,997.08,operación exitosa
44,error_timeout,493.2,operación exitosa
45,error_timeout,267.68,fallo en operación
50,error_timeout,56.95,completado
51,error_timeout,579.09,operación exitosa
52,error_conexion,802.15,completado
54,error_timeout,490.45,fallo en operación
57,error_timeout,137.33,fallo en operación
63,error_timeout,630.14,operación exitosa
68,error_conexion,366.46,fallo en operación
69,error_conexion,493.63,completado
70,error_timeout,642.37,completado
72,error_conexion,844.33,reintentar
73,error_conexion,544.48,fallo en operación
74,error_conexion,39.58,reintentar
76,error_conexion,621.92,operación exitosa
78,error_conexion,352.07,operación exitosa
81,error_timeout,557.28,reintentar
84,error_timeout,477.12,reintentar
86,error_timeout,831.05,completado
87,error_conexion,550.19,fallo en operación
88,error_timeout,914.24,operación exitosa
90,error_conexion,464.59,fallo en operación
97,error_timeout,234.32,reintentar
99,error_conexion,991.48,fallo en operación
100,error_timeout,715.9,operación exitosa
1,error_timeout,310.3,operación exitosa
2,error_conexion,936.1,operación exitosa
4,error_timeout,833.75,operación exitosa
6,error_timeout,107.77,fallo en operación
8,error_timeout,440.32,completado
9,error_timeout,484.32,operación exitosa
10,error_timeout,680.66,fallo en operación
13,error_timeout,653.44,operación exitosa
14,error_conexion,466.52,operación exitosa
16,error_timeout,912.98,operación exitosa
17,error_conexion,739.95,completado
18,error_timeout,900.24,operación exitosa
23,error_timeout,815.83,completado
24,error_timeout,137.87,fallo en operación
31,error_conexion,588.14,fallo en operación
35,error_conexion,118.8,operación exitosa
36,error_conexion,176.62,reintentar
39,error_timeout,920.12,fallo en operación
43,error_timeout,699.84,reintentar
45,error_conexion,402.92,fallo en operación
48,error_conexion,797.31,reintentar
50,error_conexion,321.37,reintentar
53,error_conexion,591.75,operación exitosa
55,error_timeout,77.53,completado
59,error_conexion,746.07,operación exitosa
67,error_conexion,984.61,reintentar
69,error_conexion,410.43,fallo en operación
72,error_conexion,776.92,completado
77,error_conexion,279.01,operación exitosa
84,error_timeout,546.59,completado
85,error_timeout,729.7,reintentar
86,error_timeout,437.08,reintentar
87,error_conexion,639.56,completado
89,error_timeout,342.22,operación exitosa
95,error_conexion,728.13,reintentar
98,error_timeout,580.09,completado
100,error_conexion,979.18,operación exitosa
1,error_timeout,542.43,completado
2,error_conexion,864.25,completado
3,error_conexion,554.34,operación exitosa
5,error_conexion,915.47,reintentar
7,error_timeout,354.26,reintentar
9,error_timeout,672.98,fallo en operación
10,error_conexion,368.55,operación exitosa
13,error_conexion,863.14,operación exitosa
15,error_conexion,639.15,completado
16,error_conexion,767.28,fallo en operación
18,error_timeout,827.13,reintentar
20,error_timeout,488.06,fallo en operación
22,error_conexion,387.54,operación exitosa
24,error_timeout,456.61,completado
28,error_conexion,225.72,reintentar
29,error_conexion,991.82,reintentar
30,error_timeout,439.11,reintentar
33,error_timeout,443.33,operación exitosa
40,error_timeout,528.12,operación exitosa
44,error_timeout,380.65,operación exitosa
46,error_conexion,601.27,operación exitosa
52,error_timeout,489.16,fallo en operación
54,error_conexion,49.27,reintentar
56,error_timeout,581.79,fallo en operación
63,error_conexion,479.91,completado
65,error_timeout,152.35,operación exitosa
68,error_conexion,382.06,operación exitosa
69,error_conexion,887.93,fallo en operación
72,error_conexion,517.44,operación exitosa
73,error_timeout,448.88,completado
75,error_conexion,807.29,completado
81,error_conexion,991.11,operación exitosa
82,error_timeout,778.18,completado
83,error_conexion,87.4,operación exitosa
87,error_timeout,903.72,reintentar
88,error_conexion,680.19,completado
89,error_conexion,252.99,operación exitosa
91,error_timeout,118.58,operación exitosa
92,error_timeout,768.69,fallo en operación
95,error_conexion,220.46,fallo en operación
96,error_conexion,858.41,reintentar
97,error_conexion,214.3,completado
99,error_conexion,160.44,reintentar
1,error_conexion,275.4,reintentar
2,error_conexion,245.48,completado
3,error_timeout,408.36,fallo en operación
6,error_conexion,156.07,completado
8,error_conexion,766.81,fallo en operación
9,error_timeout,784.36,reintentar
10,error_timeout,586.85,operación exitosa
14,error_timeout,694.68,completado
15,error_conexion,556.2,completado
19,error_conexion,401.74,operación exitosa
20,error_conexion,306.77,completado
24,error_timeout,948.34,reintentar
26,error_timeout,857.16,fallo en operación
33,error_conexion,18.31,fallo en operación
34,error_conexion,677.42,operación exitosa
36,error_timeout,696.51,completado
39,error_conexion,94.15,fallo en operación
40,error_conexion,13.25,fallo en operación
42,error_conexion,240.16,fallo en operación
45,error_conexion,743.51,operación exitosa
46,error_conexion,164.91,fallo en operación
47,error_timeout,948.47,reintentar
48,error_timeout,955.71,fallo en operación
49,error_conexion,254.21,operación exitosa
51,error_conexion,153.47,operación exitosa
53,error_conexion,337.85,fallo en operación
55,error_conexion,777.96,fallo en operación
61,error_timeout,217.39,reintentar
62,error_conexion,584.98,completado
67,error_conexion,677.87,completado
70,error_conexion,959.54,completado
74,error_conexion,362.76,completado
76,error_conexion,773.4,fallo en operación
77,error_conexion,454.94,fallo en operación
79,error_timeout,609.02,fallo en operación
80,error_conexion,913.65,fallo en operación
82,error_conexion,35.07,reintentar
84,error_conexion,674.88,fallo en operación
88,error_timeout,538.33,reintentar
89,error_timeout,754.44,reintentar
91,error_timeout,19.92,fallo en operación
92,error_conexion,801.53,completado
93,error_timeout,699.97,reintentar
95,error_conexion,462.8,operación exitosa
98,error_conexion,182.34,completado
100,error_timeout,445.92,operación exitosa
5,error_timeout,891.73,fallo en operación
6,error_conexion,867.81,completado
9,error_conexion,343.14,completado
10,error_conexion,359.04,reintentar
16,error_conexion,571.61,operación exitosa
19,error_conexion,92.35,fallo en operación
23,error_conexion,227.59,completado
28,error_timeout,743.86,reintentar
29,error_conexion,736.9,fallo en operación
32,error_timeout,70.63,operación exitosa
37,error_conexion,127.59,fallo en operación
38,error_conexion,521.28,completado
41,error_timeout,485.63,completado
42,error_conexion,321.98,fallo en operación
46,error_conexion,920.89,operación exitosa
47,error_conexion,754.25,reintentar
49,error_conexion,571.35,fallo en operación
58,error_timeout,895.3,operación exitosa
63,error_conexion,471.01,reintentar
65,error_conexion,928.4,completado
66,error_timeout,422.2,completado
67,error_conexion,624.27,operación exitosa
68,error_timeout,677.48,completado
70,error_conexion,441.53,fallo en operación
73,error_conexion,935.06,reintentar
74,error_conexion,232.78,fallo en operación
75,error_timeout,694.87,reintentar
76,error_conexion,162.2,operación exitosa
77,error_conexion,285.88,operación exitosa
78,error_timeout,59.66,fallo en operación
79,error_timeout,814.63,reintentar
80,error_conexion,577.11,fallo en operación
82,error_timeout,80.23,operación exitosa
83,error_conexion,743.46,operación exitosa
84,error_timeout,152.68,fallo en operación
85,error_timeout,530.86,reintentar
89,error_timeout,74.56,completado
94,error_timeout,527.51,completado
98,error_conexion,283.26,operación exitosa
